Refdatum,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
1580688000000,Baden-Württemberg,1,1,0
1581552000000,Baden-Württemberg,2,1,1
1581638400000,Baden-Württemberg,3,2,1
1581724800000,Baden-Württemberg,4,2,2
1581897600000,Baden-Württemberg,5,2,3
1581984000000,Baden-Württemberg,7,2,5
1582070400000,Baden-Württemberg,10,3,7
1582156800000,Baden-Württemberg,11,3,8
1582243200000,Baden-Württemberg,14,3,11
1582329600000,Baden-Württemberg,16,3,13
1582416000000,Baden-Württemberg,23,3,20
1582502400000,Baden-Württemberg,29,3,26
1582588800000,Baden-Württemberg,46,5,41
1582675200000,Baden-Württemberg,63,6,57
1582761600000,Baden-Württemberg,75,6,69
1582848000000,Baden-Württemberg,109,6,103
1582934400000,Baden-Württemberg,145,7,138
1583020800000,Baden-Württemberg,175,7,168
1583107200000,Baden-Württemberg,230,9,221
1583193600000,Baden-Württemberg,298,10,288
1583280000000,Baden-Württemberg,390,15,375
1583366400000,Baden-Württemberg,490,19,471
1583452800000,Baden-Württemberg,637,26,611
1583539200000,Baden-Württemberg,765,28,737
1583625600000,Baden-Württemberg,976,34,942
1583712000000,Baden-Württemberg,1355,37,1318
1583798400000,Baden-Württemberg,1824,41,1783
1583884800000,Baden-Württemberg,2431,51,2380
1583971200000,Baden-Württemberg,3024,69,2955
1584057600000,Baden-Württemberg,3631,92,3539
1584144000000,Baden-Württemberg,4166,100,4066
1584230400000,Baden-Württemberg,4682,119,4563
1584316800000,Baden-Württemberg,5230,137,5093
1584403200000,Baden-Württemberg,5672,149,5523
1584489600000,Baden-Württemberg,6104,163,5941
1584576000000,Baden-Württemberg,6436,175,6261
1584662400000,Baden-Württemberg,6667,179,6488
1584748800000,Baden-Württemberg,6862,186,6676
1584835200000,Baden-Württemberg,6977,188,6789
1584921600000,Baden-Württemberg,7064,199,6865
1585008000000,Baden-Württemberg,7131,203,6928
1585094400000,Baden-Württemberg,7212,204,7008
1585180800000,Baden-Württemberg,7270,204,7066
1585267200000,Baden-Württemberg,7325,205,7120
1585353600000,Baden-Württemberg,7367,207,7160
1585440000000,Baden-Württemberg,7419,209,7210
1585526400000,Baden-Württemberg,7489,209,7280
1585612800000,Baden-Württemberg,7558,213,7345
1585699200000,Baden-Württemberg,7653,219,7434
1585785600000,Baden-Württemberg,7721,221,7500
1585872000000,Baden-Württemberg,7788,223,7565
1585958400000,Baden-Württemberg,7851,225,7626
1586044800000,Baden-Württemberg,7920,228,7692
1586131200000,Baden-Württemberg,7954,232,7722
1586217600000,Baden-Württemberg,7992,232,7760
1586304000000,Baden-Württemberg,8028,236,7792
1586390400000,Baden-Württemberg,8096,238,7858
1586476800000,Baden-Württemberg,8134,239,7895
1586563200000,Baden-Württemberg,8172,239,7933
1586649600000,Baden-Württemberg,8185,240,7945
1586736000000,Baden-Württemberg,8210,241,7969
1586822400000,Baden-Württemberg,8227,242,7985
1586908800000,Baden-Württemberg,8249,243,8006
1586995200000,Baden-Württemberg,8266,243,8023
1587081600000,Baden-Württemberg,8282,243,8039
1587168000000,Baden-Württemberg,8304,244,8060
